10.0.2.2 - - [07/May/2017:17:37:21 +0000] "GET /icons/ubuntu-logo.png HTTP/1.1" 404 191 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:37:32 +0000] "GET / HTTP/1.1" 404 191 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
127.0.0.1 - - [07/May/2017:17:39:30 +0000] "GET / HTTP/1.1" 404 162 "-" "curl/7.47.0" "-"
127.0.0.1 - - [07/May/2017:17:39:35 +0000] "GET / HTTP/1.1" 404 162 "-" "curl/7.47.0" "-"
127.0.0.1 - - [07/May/2017:17:39:37 +0000] "GET / HTTP/1.1" 404 162 "-" "curl/7.47.0" "-"
127.0.0.1 - - [07/May/2017:17:39:39 +0000] "GET / HTTP/1.1" 404 162 "-" "curl/7.47.0" "-"
10.0.2.2 - - [07/May/2017:17:40:29 +0000] "GET / HTTP/1.1" 200 1268 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:40:29 +0000] "GET /assets/css/main.css HTTP/1.1" 404 191 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:40:29 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 404 191 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:40:29 +0000] "GET /assets/js/skel-viewport.min.js HTTP/1.1" 404 191 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
10.0.2.2 - - [07/May/2017:17:40:29 +0000] "GET /assets/js/skel.min.js HTTP/1.1" 404 191 "http://localhost:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36" "-"
